DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161404362,1/5/2016,1/5/2016,400,14,Pacific,1453,310,BURGLARY,,37,F,W,710,OTHER PREMISE,,,IC,Invest Cont,310,,,,4000    REDWOOD                      AV,,"(33.9927, -118.4419)",90292
161404363,1/4/2016,1/3/2016,1535,14,Pacific,1469,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,951,,,,6700    LA TIJERA                    BL,,"(33.9787, -118.3703)",90056
161404365,1/6/2016,1/5/2016,1830,14,Pacific,1428,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,10700    LAWLER                       ST,,"(34.0253, -118.4121)",90034
161404367,1/6/2016,1/5/2016,2200,14,Pacific,1445,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CASWELL,WADE,"(33.9988, -118.436)",90066
161404369,1/5/2016,1/4/2016,2000,14,Pacific,1487,210,ROBBERY,0344 0417 0416,36,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,MANCHESTER,SEPULVEDA,"(33.9599, -118.3962)",90045
161404370,1/5/2016,1/5/2016,1230,14,Pacific,1465,624,BATTERY - SIMPLE ASSAULT,400,17,F,B,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11700    JEFFERSON                    BL,,"(33.9868, -118.4007)",90230
161404376,1/5/2016,1/5/2016,1825,14,Pacific,1455,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,16,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,12500    SHORT                        AV,,"(33.9914, -118.4264)",90066
161404377,1/6/2016,1/6/2016,615,14,Pacific,1413,330,BURGLARY FROM VEHICLE,344,57,F,W,101,STREET,,,IC,Invest Cont,330,,,,4TH                          AV,ELECTRIC                     AV,"(33.9924, -118.4708)",90291
161404378,1/6/2016,1/4/2016,728,14,Pacific,1444,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,MARINA POINTE                DR,LINCOLN                      BL,"(33.9857, -118.4435)",90292
161404384,1/6/2016,1/6/2016,1645,14,Pacific,1488,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,8700    BELLANCA                     AV,,"(33.9587, -118.3805)",90045
